focal;neighbor;assoc;RAW_GY;RAW_GNb;RAW_SY;RAW_SNb;RAW_BY;RAW_PY;RAW_TKW;RAW_SeY;RAW_GPC;RAW_TW;RAW_RLVA;RAW_YI;RAW_GPD;RYT_GY;RYT_GNb;RYT_SY;RYT_SNb;RYT_BY;RYT_PY;RYT_TKW;RYT_SeY;RYT_GPC;RYT_TW;RYT_RLVA;RYT_YI;RYT_GPD
EL4X_69;EL4X_69;M;660.246924103166;15833.68680049;1007.93835509064;337.997795097893;614.745417381532;99.1398932531945;41.6988748370805;74.6190300569406;15.0155782077833;82.7454579426372;17.4839661785143;38.3170844354325;-1.27820355176981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_426;EL4X_426;M;719.747230686813;20021.0507093646;1304.99229784231;484.934518991098;943.374426208778;119.417745986544;35.949523385911;72.5132619447127;16.5916228496761;78.9008461110936;2.00373576018764;37.9058893275052;0.473139767101779;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_146;EL4X_402;P;678.176067319768;17299.8591960853;1001.32116469468;392.356991826964;700.154435098078;105.947033648556;39.2428365076072;73.6755779314227;15.6223492325926;80.1910434601233;1.10195972581415;38.2554270992133;-0.618610024595483;0.929146568453117;0.898104604608761;0.902454790569703;0.929664736134587;0.887516050446716;0.938849353781231;1.04422069440644;1.00938286938636;1.00712979322251;1.00505214932314;0.119075115732517;0.98455112575101;-0.0113149909533659
EL4X_182;EL4X_488;P;774.880641215271;20969.3256877729;1149.33387423452;458.424560296766;737.108349251271;116.728031845509;37.1146142115959;73.3630747875584;15.0640015554448;80.0613218704857;17.7344879096251;38.3009742889007;-0.892048516647799;1.28435563689784;1.11298491952952;1.09663989109622;0.994150999993991;0.918238603368878;1.19926384465544;1.07854193074134;1.02136068968343;0.942323658659596;1.03195658105821;0.758090650403565;0.99337473148491;-0.140018524900575
EL4X_383;EL4X_383;M;742.511747519834;17009.9950397438;1118.67104008755;420.621701104386;753.11433166386;122.951335195287;43.6514970042588;73.4431171349773;16.5588403962595;79.1672586827888;-4.2620836172415;38.9562131263878;0.507425702270372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_346;EL4X_383;P;719.384578199557;16610.6710573223;1102.68567547309;396.639810118965;785.547564298686;119.791247594347;43.3850358353708;73.7456480637703;16.651906535744;79.7664651611938;-5.86694041954447;37.7137780417107;0.532355013276383;1.0870000107419;1.04180717796136;1.03628732408372;1.01989492936495;1.00868218943088;1.06296550331107;1.03867948074233;1.00543130646277;0.980648798320537;1.00451526592395;0.97260008402436;0.996080895199225;0.0197320044241883
EL4X_462;EL4X_462;M;816.787843817854;18620.1749181334;1178.58122442429;485.037232773323;1069.12802453934;145.092818188311;43.8657449464892;73.6329347943909;17.7638317326215;80.3519700055571;-9.14518504960525;35.522989017497;1.93124786757756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_268;EL4X_504;P;691.462359108672;16769.3726274659;1085.5083596862;377.447345976481;754.420292457166;113.489665310146;41.2967310297549;74.0191249699654;16.4129925244867;80.4241974164102;0.0233327229614797;37.3766039254342;0.211177088671621;1.3088650112368;1.14783658219995;1.17673412231972;1.08926393373358;1.09405873632903;1.25777490795643;1.14748217979389;1.01015457622805;0.960401398522838;1.03404986198952;0.00397389352081739;0.997257045746864;-0.17305918665472
EL4X_100;EL4X_453;P;634.026066574619;16434.7701491141;1003.73711194466;407.033816154663;847.724676610991;111.208206014051;38.6789821393075;72.0259802773773;17.5400053525974;77.2474391939568;0.259579296434373;37.6152325722315;1.16897219892679;0.990309992396083;0.958233944818261;0.998918861447787;0.986374551894108;1.2262358484498;1.00757632388554;1.03836631187136;0.993604978399767;1.01145826964867;0.980352983675524;-0.0952396120735861;1.01054445358421;0.231383200406833
EL4X_335;EL4X_370;P;715.318079702058;18839.4027717267;1070.09856481571;403.095827736538;734.458508130687;108.23027544642;37.970062028486;74.3303080253591;15.1303704628156;81.9904762967807;0.354898008658324;37.8911673378257;-1.00116170055084;1.00280350756868;0.970505912324494;0.999721683594347;1.05776534036214;1.0899184611096;0.989524762379891;1.03101066970978;1.018911509522;0.990836083816774;1.01791309094202;0.032972449490661;0.986405121132402;0.0564692976327095
EL4X_394;EL4X_394;M;623.31044822696;16858.6116021241;1013.46942114209;421.863592859619;721.912730760533;109.425917031668;36.9728221361021;72.0285584897532;17.5556044893738;74.47898585975;5.15347717483417;38.5898606254276;1.15300118376268;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_388;EL4X_415;P;856.698045164778;24635.8702264853;1370.92792767469;477.723164547175;922.424983869458;130.178368262885;34.8336393755357;72.5778837172423;15.1953618894795;79.0050548597621;9.1137745277401;37.2310203010904;-0.519639295814077;1.43023711095157;1.46152833823408;1.4003892636319;1.36784731978938;1.4860405864004;1.37862404081196;0.978447504661757;0.995201102101647;0.965363869341792;0.98770011774223;1.1860057827243;0.977007154580822;-0.140514125826046
EL4X_250;EL4X_376;P;555.858865737848;14703.9398676714;862.064764818561;356.25460990229;661.833629788544;92.2205965199035;37.814288463883;73.9388328049359;16.5906495702807;79.583239726743;1.79569157369011;38.288075708771;-0.010678310872646;1.06141793541956;1.06423672383045;1.06045393533322;1.02090544751328;1.0094845113678;1.0356683879159;0.955591335562569;1.01915082877382;0.971815693841283;1.00890561530488;0.265697484152478;0.998475070189058;-0.202765116651815
EL4X_188;EL4X_348;P;755.020513888805;19384.3269046372;1180.70743197226;478.505929367067;869.393630832471;120.591623608238;39.0549679479261;74.006373607203;15.9719665081839;80.4103676983356;4.466947932732;37.8679578127397;-0.0425950951067486;1.1932053528984;1.23808076583755;1.13578985945337;1.1323247669863;1.07729616530057;1.22541608352356;0.944634178912338;1.00197130952191;1.02626977394153;0.991783414630618;5.04217817072589;0.992075325630443;0.0270116260700198
EL4X_415;EL4X_415;M;514.973855804573;14144.4995502406;898.281769250198;316.842662196556;594.752411698033;81.6361226275612;36.4080647728405;73.7795515719126;15.8524790544981;80.3112787095377;7.2201904699994;38.1897078559699;-0.869303469010608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_182;EL4X_243;P;680.68145607826;18236.115761782;1068.29876089557;410.195850365551;668.436869803378;105.417191915233;37.3700973818593;72.8789660172555;15.4870080525762;80.0064811061579;27.1212410515903;37.8773260660707;-0.74656987567598;1.10364153020341;0.967620945073745;1.01358388953192;0.961185848683637;0.918446374426433;1.06667547967148;1.07149471892618;0.988131481973597;0.991291202852976;1.00358410791673;2.64226636383503;1.00481672787847;0.368410449193443
EL4X_198;EL4X_395;P;753.936797813518;18150.3366785398;1084.00995806766;391.800218085038;833.741944117774;114.197290573919;41.6546824713932;74.0491807507546;15.1467988968175;82.3873160164305;4.04054502132844;38.4572268311703;-0.870955530260549;1.19015218180818;1.16801278092732;1.1832123453613;1.16902233241439;1.11310735047238;1.11855679079014;0.996607082733359;0.998857426905723;0.948804016625726;0.997923704954678;-3.84028981540023;0.999223793452568;-0.25697409672072
EL4X_295;EL4X_295;M;735.808389534211;16810.0893367559;1110.3087547115;417.792221984954;788.892103389744;118.365382378308;43.7718309994544;73.9938388394467;16.0864409895132;80.4982506366324;-6.31505372884729;36.6417676578334;0.0152769891143132;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GQ4X_116;GQ4X_126;P;816.61453749966;22608.8624400395;1238.80107228612;436.711247417779;879.577387525331;134.918531422607;36.1304032492206;72.8795747611707;16.5216911072518;77.4956203873982;8.81027854695383;39.109563417607;0.688596650413711;1.31926653820248;1.23436096792408;1.22145678018172;1.11257270870366;1.26111747135817;1.30343254983428;1.06178612383723;1.01175084440614;0.985344656954597;1.01057937891293;0.85221273132035;1.00433419431565;0.093836257735202
